Title,Price,Store,Condition
Used Alvarez 521412 Regent Natural 12 String Acoustic Guitar,$149.99,"North Houston, TX",Good
Vintage 1997 Fender Artist Series Hendrix Strat Olympic White Solid Body Electric Guitar,"$2,199.99","North Houston, TX",Good
Used Mitchell MD100 Natural Acoustic Guitar,$99.99,"Central Dallas, TX",Great
Used Ernie Ball Music Man Axis ROASTED AMBER QUILT Solid Body Electric Guitar,"$2,009.99","Katy, TX",Great
Used OLP MM1 Amber Solid Body Electric Guitar,$399.99,"Orange, CT",Excellent
Used Harley Benton MULTI SCALE 7-STRING RED  Solid Body Electric Guitar,$249.99,"Nashville, TN",Great
Used Ibanez RGIR28FE Iron Label 8 String Walnut Solid Body Electric Guitar,$499.99,"Nashville, TN",Good
Used ESP E-II Eclipse Tobacco Sunburst Solid Body Electric Guitar,"$1,499.99","Fredericksburg, VA",Great
Used Gretsch Guitars outlaw heart nick 13 Black Acoustic Electric Guitar,$399.99,"Orange, CT",Excellent
Used Cort KX700 EVERTUNE Black Solid Body Electric Guitar,$679.99,"Maple Grove, MN",Great
Used PRS SE Custom 24 Amber Solid Body Electric Guitar,$474.99,"Nashville, TN",Great
Used Fender AMERICAN VINTAGE II 1961 STRATOCASTER Fiesta Red Solid Body Electric Guitar,"$1,999.99","Central Dallas, TX",Excellent
Used 2002 Ibanez RG3120 PRESTIGE TWILIGHT BLUE Solid Body Electric Guitar,"$1,799.99","Dayton, OH",Good
Used Epiphone 1961 SG Pelham Blue Solid Body Electric Guitar,$349.99,"Pittsburgh, PA",Good
Used Schecter Guitar Research C6 Deluxe Black Solid Body Electric Guitar,$199.99,"Scottsdale, AZ",Poor
Used Ibanez AF75 Sunburst Hollow Body Electric Guitar,$249.99,"Scottsdale, AZ",Good
Used 2016 PRS S2 Custom 24 Cherry Solid Body Electric Guitar,$924.99,"Dallas, TX",Good
Used 2020 Fender Player Telecaster Polar White Solid Body Electric Guitar,$499.99,"Atlantic City, NJ",Good
Used 2017 Schecter Guitar Research Synyster Gates Signature Custom White and Gold Solid Body Electric Guitar,$599.99,"Lincoln, NE",Good
Used Sawtooth ES HYBRID Natural Solid Body Electric Guitar,$299.99,"Appleton, WI",Good
Used Squier Bullet Stratocaster Hardtail Blue Solid Body Electric Guitar,$109.99,"Manchester, CT",Good
Used Taylor 110E Natural Acoustic Electric Guitar,$369.99,"Willowbrook, TX",Good
Used Fender American Professional II Stratocaster DARK NIGHT Solid Body Electric Guitar,$999.99,"Nashville, TN",Good
Used PRS SE Hollowbody II Piezo Peacock Blue Hollow Body Electric Guitar,"$1,099.99","Goodlettsville, TN",Excellent
Used Jackson JS22 Dinky WHITE Solid Body Electric Guitar,$149.99,"Williston, VT",Good
Vintage 1979 Fender American Standard Stratocaster Antigua Solid Body Electric Guitar,"$2,899.99","Portsmouth, NH",Great
Used Epiphone Les Paul Special II Vintage Sunburst Solid Body Electric Guitar,$74.99,"Scranton, PA",Fair
Used Alvarez AJ60SC Natural Acoustic Electric Guitar,$329.99,"Monroeville, PA",Good
Used ESP EC1000 Deluxe Black Solid Body Electric Guitar,$599.99,"Willowbrook, TX",Great
Used Gretsch Guitars JIM DANDY DREADNOUGHT Rex Burst Acoustic Guitar,$99.99,"Chattanooga, TN",Great
Used Gretsch Guitars G5427T Orange Hollow Body Electric Guitar,$594.99,"Lewisville, TX",Great
Used 2024 Gibson 70s Flying V Antique Natural Solid Body Electric Guitar,"$1,999.99","Lewisville, TX",Great
Used Yamaha A1M Sunburst Acoustic Electric Guitar,$399.99,"Maple Grove, MN",Good
Used PRS 35th Anniversary SE Custom 24 Black Gold Burst Solid Body Electric Guitar,$649.99,"Maple Grove, MN",Good
Used Epiphone Prophecy Les Paul Custom Plus Trans Black Solid Body Electric Guitar,$634.99,"Oklahoma City, OK",Great
Used 2024 Fender PLAYER II TELECASTER HH Hialeah Yellow Solid Body Electric Guitar,$699.99,"Oklahoma City, OK",Great
Used Ibanez RG517 BLUE SPARKLE Solid Body Electric Guitar,$749.99,"Oklahoma City, OK",Good
Used Yamaha APX500II NATURAL Acoustic Electric Guitar,$199.99,"Jackson, MS",Excellent
Used Martin DRS1 Natural Acoustic Electric Guitar,$599.99,"Crestwood, MO",Great
Used Schecter Guitar Research SOLO II SUPREME SEE THRU BLUE BURST Solid Body Electric Guitar,"$1,019.99","Woodlands, TX",Good
Used Gibson Les Paul Studio BURBON BURST Solid Body Electric Guitar,$899.99,"Woodlands, TX",Great
Vintage 1989 Yamaha RGX612A White Solid Body Electric Guitar,$399.99,"Southington, CT",Great
Used Jackson JS32 Dinky NATURAL Solid Body Electric Guitar,$199.99,"Tyler, TX",Good
Used Squier Affinity Stratocaster 2 Color Sunburst Solid Body Electric Guitar,$84.99,"Tyler, TX",Fair
Used Ibanez GRG120BDX Left Handed Black Electric Guitar,$119.99,"Central Houston, TX",Good
Used 2018 Xotic XSC-1 California Classic Fiesta Red Solid Body Electric Guitar,"$1,999.99","Nashville, TN",Great
Used Talman tcy10e Blue Acoustic Electric Guitar,$149.99,"Towson, MD",Good
Used Taylor GS Mini Mahogany Natural Acoustic Guitar,$499.99,"Warwick, RI",Good
Used Ibanez GA-3 Natural Classical Acoustic Guitar,$79.99,"Danbury, CT",Fair
Used Breedlove pursuit concert ce12st Natural 12 String Acoustic Electric Guitar,$399.99,"Nashville, TN",Good
Used Kepma GA3-130A-NM Natural Acoustic Guitar,$299.99,"Gwinnett, GA",Great
Used Gibson SG Standard Cherry Solid Body Electric Guitar,"$1,299.99","Plano, TX",Great
Vintage 1979 Fender STRATOCASTER Antigua Solid Body Electric Guitar,"$2,499.99","Florence, KY",Fair
Used Squier Affinity Stratocaster Candy Apple Red Solid Body Electric Guitar,$124.99,"Houston, TX",Good
Used Collings D2HA Natural Acoustic Guitar,"$6,799.99","Monroeville, PA",Excellent
Used ESP LTD EX-200 Black Solid Body Electric Guitar,$439.99,"South Springfield, MO",Great
Used EVH Wolfgang Standard Metallic Silver Solid Body Electric Guitar,$374.99,"Columbia, SC",Great
Used Martin Special D Classic Natural Acoustic Guitar,$749.99,"Boise, ID",Excellent
Used Fender Player Plus Stratocaster Plus Top Blue Burst Solid Body Electric Guitar,$624.99,"Erie, PA",Great
Used Washburn EA55GAU Tobacco Burst Acoustic Electric Guitar,$199.99,"Raleigh, NC",Good
Used Schecter Guitar Research Reaper 6 FR S Elite Blood Burst Solid Body Electric Guitar,"$1,049.99","Raleigh, NC",Great
Used Fender American Ultra Telecaster Texas Tea Solid Body Electric Guitar,"$1,699.99","Raleigh, NC",Great
Used D'Angelico Excel DC Mini Viola Solid Body Electric Guitar,"$1,199.99","San Antonio, TX",Great
Used Fender Player Plus Telecaster 3 Color Sunburst Solid Body Electric Guitar,$699.99,"Twin Cities, MN",Great
Used 2022 Fender Player Stratocaster Seafoam Green Solid Body Electric Guitar,$649.99,"Pittsburgh, PA",Excellent
Used Martin LITTLE MARTIN LX BLACK Black Acoustic Guitar,$299.99,"Pittsburgh, PA",Great
Used 2022 Fender CD60 Dreadnought Black Acoustic Guitar,$189.99,"Pittsburgh, PA",Great
Used 2022 Jackson MJ SERIES RHOADS RRT Snow White Solid Body Electric Guitar,"$1,749.99","Manchester, CT",Excellent
Used Rogue RA-090 Dreadnought Natural Acoustic Guitar,$69.99,"Youngstown, OH",Great
Used Epiphone 1958 Korina Flying V Natural Solid Body Electric Guitar,$949.99,"Youngstown, OH",Excellent
Used Epiphone Korina 1958 Explorer Natural Solid Body Electric Guitar,$949.99,"Monroeville, PA",Excellent
Used Dean Dave Mustaine VMNTX Metallic Silver Solid Body Electric Guitar,$399.99,"Cedar Hill, TX",Good
Used Epiphone Special II Blue Solid Body Electric Guitar,$109.99,"Allen Park, MI",Great
Used Squier Affinity Stratocaster Blue Solid Body Electric Guitar,$169.99,"Somerville Circle, NJ",Great
Used Gibson Les Paul Standard 50's Faded Honey Burst Solid Body Electric Guitar,"$1,799.99","N. Olmsted, OH",Good
Used Martin DX2E Natural Acoustic Electric Guitar,$499.99,"Scottsdale, AZ",Good
Used Squier Affinity Stratocaster Candy Apple Red Solid Body Electric Guitar,$119.99,"Scottsdale, AZ",Good
Used Fender Standard Stratocaster Purple Solid Body Electric Guitar,$449.99,"Oxford Valley, PA",Good
Used Guild SURFLINER HH CANYON DUSK Solid Body Electric Guitar,$289.99,"Salem, OR",Great
Used EVH SA-126 Special Stealth Black Hollow Body Electric Guitar,"$1,599.99","Towson, MD",Excellent
Used 1997 Fender HM Heavy Metal Stratocaster Black Solid Body Electric Guitar,$899.99,"Memphis, TN",Good
Used Agile 3010 Flame Top Solid Body Electric Guitar,$399.99,"Clearlake, TX",Good
Used Epiphone Les Paul Special Black Solid Body Electric Guitar,$89.99,"Monroeville, PA",Fair
Used PRS SE HOLLOWBODY STANDARD Dog Hair Smokeburst Hollow Body Electric Guitar,$899.99,"Woodlands, TX",Great
Used Schecter Guitar Research Reaper 6FR Natural Solid Body Electric Guitar,$619.99,"N. Olmsted, OH",Great
Used 2020s Fender American Performer Telecaster 3 Tone Sunburst Solid Body Electric Guitar,$999.99,"Overland Park, KS",Great
Used PRS CE24 forest green Solid Body Electric Guitar,"$1,559.99","Central Dallas, TX",Great
Used Gibson LES PAUL STUDIO 100 Wine Red Solid Body Electric Guitar,$999.99,"Nashville, TN",Great
Used 2019 Fender American Acoustasonic Telecaster Satin Natural Acoustic Electric Guitar,$899.99,"Allentown, PA",Excellent
Used Guild Surfliner Surf Green Solid Body Electric Guitar,$211.99,"Denton, TX",Great
Used Danelectro DC-2 Turquoise Solid Body Electric Guitar,$499.99,"Cary, NC",Good
Used Fender FA15 MNLT Burst Acoustic Guitar,$119.99,"Fayetteville, GA",Great
Used 2022 Fender American Ultra Stratocaster Cobra Blue Solid Body Electric Guitar,"$1,499.99","Fayetteville, GA",Excellent
Used 2015 Fender American Standard Stratocaster Bordeaux Metallic Solid Body Electric Guitar,$949.99,"Plymouth Meeting, PA",Great
Used Ibanez AEG5EJP Black Acoustic Electric Guitar,$104.99,"Warwick, RI",Good
Used Fender American Ultra Telecaster Texas Tea Solid Body Electric Guitar,"$1,599.99","Warwick, RI",Great
Used Martin D28 Marquis Natural Acoustic Guitar,"$3,500.99","Warwick, RI",Good
Used 2015 Palir Mojo Titan Blue Paisley Solid Body Electric Guitar,"$1,999.99","Dallas, TX",Excellent
Used Epiphone Les Paul Custom Black Solid Body Electric Guitar,$599.99,"Appleton, WI",Excellent
Used Kramer VT211 Candy Apple Red Solid Body Electric Guitar,$89.99,"Nashville, TN",Good
Used Fender Player Lead III Purple Solid Body Electric Guitar,$399.99,"Nashville, TN",Good
Used Guild OM-260CE DELUXE Tobacco Burst Acoustic Electric Guitar,$369.99,"Katy, TX",Fair
Used Epiphone LES PAUL STANDARD 3 Color Sunburst Solid Body Electric Guitar,$439.99,"Alpharetta, GA",Great
Used Yamaha Pacifica Natural Solid Body Electric Guitar,$174.99,"South Austin, TX",Great
Used 2013 Gibson Les Paul Special Cherry Solid Body Electric Guitar,$829.99,"Hickory Corners, NC",Great
Used 2023 Fender CUSTOM SHOP 56 STRAT JRN FLASH COAT LAQUER BLONDE Solid Body Electric Guitar,"$3,499.99","Independence, MO",Excellent
Vintage 1994 Gibson J30 Natural Acoustic Guitar,"$1,499.99","Monroeville, PA",Good
Used Ibanez RG655 Prestige Series Galaxy Black Solid Body Electric Guitar,$899.99,"Monroeville, PA",Great
Used Epiphone Les Paul Classic Black Solid Body Electric Guitar,$299.99,"Seven Corners, VA",Good
Used Schecter Guitar Research C6 PLUS OCEAN BLUE Solid Body Electric Guitar,$279.99,"Oxford Valley, PA",Great
Used Tagima STELLA DW Metallic Aqua Marine Solid Body Electric Guitar,$399.99,"Appleton, WI",Great
Used Gretsch Guitars G7593 White Falcon White Hollow Body Electric Guitar,"$2,499.99","Scottsdale, AZ",Great
Used Eastman PCH2 DBK Black Acoustic Guitar,$349.99,"Spartanburg, SC",Excellent
Used Fender Player Stratocaster HSS 2 Color Sunburst Solid Body Electric Guitar,$549.99,"Austin, TX",Good
