Title,Price,Store,Condition
Used Reverend BUCKSHOT Black Solid Body Electric Guitar,$749.99,"Central Dallas, TX",Good
Used Ibanez JS140M Soda Blue Solid Body Electric Guitar,$774.99,"Maple Grove, MN",Excellent
Used PRS SE Silver Sky Yellow Solid Body Electric Guitar,$699.99,"Crestwood, MO",Excellent
Used Ibanez S CLASSIC 2 Color Sunburst Solid Body Electric Guitar,$459.99,"Birmingham, AL",Great
Used Yamaha LL6M Natural Acoustic Electric Guitar,$374.99,"Monroeville, PA",Good
Used 2024 Martin D-28 Standard Natural Acoustic Guitar,"$2,599.99","Monroeville, PA",Great
Used Epiphone Broadway NATURAL Hollow Body Electric Guitar,$679.99,"Southington, CT",Excellent
Used Cordoba STAGE RED Classical Acoustic Electric Guitar,$559.99,"Southington, CT",Great
Used Ibanez  GRGR120EX White Solid Body Electric Guitar,$179.99,"Richmond, VA",Good
Used Squier Super Sonic Pelham Blue Solid Body Electric Guitar,$329.99,"Mesquite, TX",Great
Used Starcaster by Fender Stratocaster Black Solid Body Electric Guitar,$179.99,"New Braunfels, TX",Excellent
Used Squier Mini Affinity Stratocaster Black Electric Guitar,$149.99,"New Braunfels, TX",Excellent
Used Epiphone Les Paul Custom Silverburst Solid Body Electric Guitar,$479.99,"Sugar Land, TX",Great
Used Ibanez AZ24P1QM Ocean Blue Solid Body Electric Guitar,$899.99,"Gwinnett, GA",Great
Used Fender ACOUSTASONIC PLAYER JAZZMASTER Green Acoustic Electric Guitar,$799.99,"Gwinnett, GA",Great
Used Taylor 214CE Natural Acoustic Electric Guitar,$819.99,"Braintree, MA",Great
Used Taylor BT2 Baby Natural Acoustic Guitar,$249.99,"Cool Springs, TN",Fair
Vintage 1985 Kramer Pacer American Series Red Solid Body Electric Guitar,$999.99,"Oxford Valley, PA",Good
Used EVH Striped Series 5150 Red with Black and White Stripes Solid Body Electric Guitar,"$1,199.99","Toledo, OH",Great
Used EVH SA126 Tobacco Sunburst Hollow Body Electric Guitar,"$1,299.99","Toledo, OH",Great
Used 2020s Gibson Les Paul Studio Blueberry Burst Solid Body Electric Guitar,$999.99,"Monroeville, PA",Good
Used Jackson SLXQ Soloist Cherry Sunburst Solid Body Electric Guitar,$474.99,"Oklahoma City, OK",Great
Used Yamaha F335 Black Acoustic Guitar,$114.99,"Boise, ID",Good
Used Yamaha F335 Black Acoustic Guitar,$144.99,"Columbia, SC",Great
Used Squier Classic Vibe 60s Jazzmaster Olympic White Solid Body Electric Guitar,$349.99,"Hagerstown, MD",Good
Used Godin LGX-SA Natural Solid Body Electric Guitar,$924.99,"Gwinnett, GA",Great
Used ESP LTD F200 Black Solid Body Electric Guitar,$329.99,"Pittsburgh, PA",Good
Used Squier Classic Vibe 1950S Telecaster Butterscotch Blonde Solid Body Electric Guitar,$349.99,"Springfield, NJ",Great
Used Fender Special Edition Standard Stratocaster Black Solid Body Electric Guitar,$499.99,"Springfield, NJ",Great
Used D'Angelico Premiere Gramercy CS Black Acoustic Electric Guitar,$299.99,"Asheville, NC",Great
Used Martin 00028EC Eric Clapton Signature Natural Acoustic Guitar,"$3,199.99","Pittsburgh, PA",Excellent
Used Fender American Ultra Stratocaster texas tea Solid Body Electric Guitar,"$1,499.99","Houston, TX",Great
Used Squier Telecaster Surf Green Solid Body Electric Guitar,$188.99,"South Austin, TX",Great
Used Jackson X Series Soloist SLA6 DX Baritone Matte Black Baritone Guitars,$699.99,"Kansas City, MO",Excellent
Used ESP E-II Eclipse Black Solid Body Electric Guitar,"$1,499.99","Dallas, TX",Great
Used Fender American Standard Stratocaster Sienna Sunburst Solid Body Electric Guitar,"$1,099.99","Denton, TX",Great
Used Fender FA135CE Concert Natural Acoustic Electric Guitar,$119.99,"Towson, MD",Good
Used D'Angelico PREMIER SERIES RIVERSIDE Natural Acoustic Electric Guitar,$249.99,"Richmond, VA",Good
Used Gretsch Guitars G5622T Electromatic Center Block Double Cut Bigsby Georgia Green Hollow Body Electric Guitar,$549.99,"Richmond, VA",Good
Used Martin GBPC Backpacker Steel String Natural Acoustic Guitar,$189.99,"Round Rock, TX",Great
Used Jackson JS32 Randy Rhoads Floyd Rose Ivory Solid Body Electric Guitar,$279.99,"Canton, MI",Good
Used Ibanez RG7321 7 String Black Solid Body Electric Guitar,$269.99,"Canton, MI",Good
Used Schecter Guitar Research Demon 7 String Ivory Solid Body Electric Guitar,$379.99,"Canton, MI",Great
Used Squier 40TH ANNIVERSARY VINTAGE EDITION TELECASTER Dakota Red Solid Body Electric Guitar,$249.99,"Pittsburgh, PA",Good
Used Fender PLAYER II TELECASTER BRITISH RACING GREEN Solid Body Electric Guitar,$659.99,"Pittsburgh, PA",Great
Used Jackson Monarkh SC JS22 BLACK Solid Body Electric Guitar,$199.99,"Plano, TX",Great
Used Fender Vintera 50s Telecaster Fiesta Red Solid Body Electric Guitar,$629.99,"Nashville, TN",Good
Used Epiphone Les Paul Special II Tobacco Burst Solid Body Electric Guitar,$99.99,"Canton, MI",Fair
Used Dean Vendetta Black Solid Body Electric Guitar,$99.99,"Canton, MI",Fair
Used Ibanez V70CE Black Acoustic Electric Guitar,$149.99,"Plano, TX",Good
Used Fender SPECIAL STRATOCASTER Orange Solid Body Electric Guitar,$599.99,"Florence, KY",Great
Used Yamaha FGX800C BURST Acoustic Electric Guitar,$264.99,"N. Olmsted, OH",Great
Used Martin SC-13E Natural Acoustic Electric Guitar,$799.99,"North Attleboro, MA",Good
Used Fender PARTSCASTER Cream Solid Body Electric Guitar,$499.99,"Danbury, CT",Great
Used Keith Urban light the fuse Emerald Green Acoustic Electric Guitar,$179.99,"Sugar Land, TX",Good
Used Squier classic vibe 70s telecaster deluxe Black Solid Body Electric Guitar,$319.99,"Fairfax, VA",Great
Used Gibson Les Paul Classic Yellow Solid Body Electric Guitar,"$1,999.99","Central Dallas, TX",Great
Used Fender AERODYNE SPECIAL STRAT DOLPHIN Solid Body Electric Guitar,$799.99,"South Springfield, MO",Excellent
Used 2020 Gibson 1964 Reissue Es - 335 Custom Shop  Tobacco Sunburst Hollow Body Electric Guitar,"$3,999.99","Nashville, TN",Good
Used Ibanez Gio RX6 White Solid Body Electric Guitar,$124.99,"Memphis, TN",Great
Used Epiphone Dove Studio Vintage Burst Acoustic Electric Guitar,$349.99,"Youngstown, OH",Great
